imu9250 monitor started
gx, gy, gz, ax, ay, az, mx, my, mz, comp, temp
-2.154,0.605,0.095,0.003,-0.011,1.031,45.674,8.559,8.608,169.387,23.287961832972794
-2.127,0.595,0.096,0.002,-0.011,1.032,45.866,8.496,8.596,169.506,23.28743359313416
-2.147,0.597,0.096,0.002,-0.010,1.033,45.839,8.506,8.646,169.487,23.258257294730768
-2.186,0.622,0.106,0.002,-0.011,1.032,45.817,8.754,8.566,169.183,23.25408539369638
-2.186,0.622,0.106,0.002,-0.011,1.032,45.817,8.754,8.566,169.183,23.25408539369638
-2.190,0.655,0.085,0.002,-0.011,1.031,45.800,8.953,8.502,168.940,23.250747872868864
-2.176,0.683,0.063,0.002,-0.012,1.032,45.906,8.931,8.451,168.990,23.286416131583497
-2.179,0.668,0.040,0.002,-0.012,1.031,45.901,8.764,8.500,169.190,23.247858756646075
-2.160,0.673,0.027,0.002,-0.012,1.032,46.047,8.781,8.449,169.204,23.264935700916944
-2.169,0.672,0.055,0.002,-0.011,1.033,45.984,8.374,8.469,169.679,23.278597256333637
-2.158,0.656,0.026,0.001,-0.012,1.033,45.994,8.409,8.664,169.640,23.289526500666994
-2.140,0.681,0.096,0.002,-0.013,1.033,45.941,8.496,8.821,169.522,23.28868532728952
-2.162,0.696,0.078,0.002,-0.012,1.033,45.869,8.356,8.616,169.675,23.278427819743378
-2.158,0.672,0.070,0.002,-0.012,1.034,45.812,8.244,8.452,169.798,23.270221813706463
-2.136,0.721,0.064,0.003,-0.012,1.034,45.616,8.545,8.531,169.390,23.282826146565252
-2.119,0.711,0.100,0.003,-0.011,1.034,45.579,8.665,8.294,169.236,23.292909612852288
-2.124,0.732,0.106,0.003,-0.011,1.034,45.519,8.731,8.195,169.142,23.329730092414398
-2.163,0.728,0.112,0.004,-0.011,1.035,45.652,8.844,8.475,169.036,23.330432769531605
-2.165,0.750,0.149,0.004,-0.011,1.034,45.668,8.545,8.549,169.402,23.28307206700456
-2.199,0.789,0.156,0.003,-0.012,1.034,45.770,8.455,8.579,169.534,23.27393721151541
-2.188,0.781,0.111,0.003,-0.012,1.034,45.770,8.455,8.579,169.534,23.28579846481241
-2.188,0.781,0.111,0.003,-0.012,1.034,45.853,8.383,8.602,169.639,23.28579846481241
-2.175,0.770,0.071,0.003,-0.011,1.035,45.828,8.596,8.711,169.376,23.256949192073368
-2.193,0.759,0.078,0.003,-0.012,1.035,45.869,8.646,8.678,169.325,23.262623480414618
-2.198,0.728,0.035,0.003,-0.011,1.036,45.691,8.476,8.562,169.490,23.267162911087617
-2.162,0.752,0.063,0.003,-0.011,1.035,45.819,8.550,8.439,169.430,23.242040749093533
-2.157,0.740,0.053,0.002,-0.011,1.036,45.832,8.520,8.610,169.470,23.25069672603075
-2.149,0.696,0.035,0.003,-0.011,1.035,45.902,8.615,8.508,169.370,23.21928323220388
-2.157,0.708,0.014,0.003,-0.011,1.036,45.958,8.691,8.545,169.291,23.261244419051508
-2.169,0.699,0.015,0.002,-0.012,1.035,46.002,8.752,8.576,169.228,23.26605966199713
-2.203,0.649,0.025,0.002,-0.012,1.035,45.918,8.801,8.660,169.150,23.241158149821143
-2.196,0.663,0.052,0.002,-0.011,1.036,45.881,8.930,8.697,168.986,23.18289866470371
-2.212,0.640,0.080,0.001,-0.011,1.035,45.941,8.763,8.757,169.200,23.19379848967473
-2.225,0.668,0.072,0.002,-0.012,1.036,45.899,8.840,8.535,169.099,23.22168748733987
-2.298,0.708,0.050,0.002,-0.012,1.037,45.955,8.871,8.747,169.074,23.23441411662782
-2.156,0.673,0.047,0.000,-0.013,1.032,46.001,8.836,8.617,169.126,23.23501085121402
-2.167,0.674,0.078,-0.000,-0.012,1.029,45.947,8.658,8.723,169.328,23.2546573765713
-2.182,0.691,0.134,0.001,-0.011,1.027,45.947,8.658,8.723,169.328,23.2512054591688
-2.182,0.691,0.134,0.001,-0.011,1.027,45.904,8.516,8.808,169.490,23.2512054591688
-2.220,0.704,0.118,0.000,-0.011,1.026,45.779,8.792,8.725,169.129,23.248443925246804
-2.245,0.748,0.140,0.002,-0.010,1.027,45.890,8.743,8.690,169.213,23.265403835797525
-2.243,0.844,0.173,-0.001,-0.011,1.029,46.098,8.884,8.781,169.092,23.269387195393943
-2.293,0.841,0.186,-0.004,-0.012,1.030,45.845,8.576,8.794,169.404,23.243820176538595
-2.237,0.795,0.123,-0.005,-0.012,1.031,45.972,8.600,8.834,169.404,23.28087397451928
-2.515,0.912,-0.210,0.005,0.030,1.060,45.924,8.650,8.717,169.334,23.253009599838865
-2.285,0.837,-0.215,0.002,-0.007,1.049,45.885,8.689,8.623,169.277,23.23071810009453
-2.087,0.913,-3.619,0.001,-0.011,1.044,45.974,8.960,8.488,168.971,23.24163860683155
-1.473,1.262,-15.863,-0.003,-0.018,1.042,46.046,8.758,8.439,169.231,23.212036736844517
-1.537,1.820,-35.436,0.008,-0.002,1.038,46.163,8.236,8.581,169.885,23.26503179160818
-0.288,2.409,-46.591,0.013,-0.001,1.031,46.227,6.828,8.664,171.597,23.278674128886628
-0.525,2.048,-55.366,0.018,-0.003,1.023,46.307,5.073,9.060,173.748,23.289587998709386
-1.886,0.859,-64.430,0.015,-0.017,1.028,46.072,3.129,9.197,176.115,23.298319094567592
-1.515,1.491,-70.905,0.015,-0.007,1.037,45.764,0.614,9.307,179.232,23.295719402409997
-1.639,1.480,-72.124,0.003,0.003,1.036,45.518,-1.398,9.395,181.760,23.255301373307276
-1.530,1.777,-73.784,0.003,0.009,1.037,44.931,-3.278,9.555,184.172,23.290058931934226
-1.530,1.777,-73.784,0.003,0.009,1.037,44.931,-3.278,9.555,184.172,23.290058931934226
-2.149,2.742,-68.869,0.010,0.013,1.030,44.281,-5.261,9.563,186.776,23.317864978835786
-2.055,3.091,-66.177,-0.005,0.019,1.033,43.432,-7.298,9.720,189.538,23.30177154098039
